parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1346088
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6g6pcmoq6e723vr
gene_symbol,Cd52
parameter_id,IMPC_IMM_067_001
pvalue,0.982155
