analysis_id,a8s02a98t0b75t1
pvalue,0.8770334
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:1334458
mouse_life_stage,E18.5
parameter_name,Retinal Blood Vessels
gene_symbol,Pex19
mouse_strain,C52BL
