analysis_id,dcmfvqs3c2s8o03
parameter_name,End-Systolic Diameter
gene_symbol,Hspa5
pvalue,0.5278399
gene_accession_id,MGI:95835
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_ECH_001_001
