parameter_name,Caudal processes
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
analysis_id,yk693xgu2215ml3
parameter_id,IMPC_XRY_067_001
pvalue,0.2674949
gene_symbol,Frmpd1
