parameter_name,Embryo Size
mouse_strain,C57BL
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_032_001
gene_symbol,Ubxn11
analysis_id,g85929qge367rjd
pvalue,0.756258
