parameter_name,Basophil cell count
pvalue,0.2264671
analysis_id,46g8323t08l14mf
gene_symbol,Orc2
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:1328306
