parameter_name,Centre distance travelled
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Gfi1b
parameter_id,ESLIM_007_001_010
gene_accession_id,MGI:1276578
pvalue,0.663897
analysis_id,62440s4459p8l99
