analysis_id,9i79045mwzdgg28
parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
mouse_life_stage,Early adult
pvalue,0.7913966
gene_symbol,Lcn2
mouse_strain,C57BL
gene_accession_id,MGI:96757
