gene_symbol,Cntfr
gene_accession_id,MGI:99605
analysis_id,q37gs85526837wo
parameter_id,ESLIM_016_001_005
pvalue,0.1023647
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Mean cell volume
