parameter_name,Neural tube morphology
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_id,IMPC_GEL_060_001
pvalue,0.452019
mouse_strain,C57BL
analysis_id,whe4zw40d4oyp45
mouse_life_stage,Early adult
