analysis_id,7653bdj8efq64q3
parameter_name,Body Weight
pvalue,0.8954712
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ncaph
parameter_id,M-G-P_020_001_001
