gene_symbol,Dmap1
parameter_name,Head coat/hair presence
parameter_id,MGP_CSD_015_001
analysis_id,7mhsqng83hb0l63
gene_accession_id,MGI:1913483
pvalue,0.9151016
mouse_life_stage,E9.5
mouse_strain,C57BL
