analysis_id,4933va5r5q39k7h
parameter_id,IMPC_HEM_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Golm2
gene_accession_id,MGI:2443129
pvalue,0.6186552
parameter_name,Red blood cell distribution width
