analysis_id,vgw2t848mu5u672
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_005
mouse_strain,C57BL
pvalue,0.1861322
parameter_name,Mean-cell-volume
