gene_symbol,Tbl1xr1
parameter_id,M-G-P_016_001_001
mouse_life_stage,Early adult
pvalue,0.9405721
gene_accession_id,MGI:2441730
parameter_name,White blood cell-count
mouse_strain,C57BL
analysis_id,h96kse2ddo8822t
