analysis_id,d916wju871s134u
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Tox
pvalue,0.6927107
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GRS_009_001
