parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,Early adult
parameter_name,Monocytes
pvalue,0.3998894
analysis_id,xc3114v87ui96u9
