analysis_id,9dbw5r70ayrp642
gene_symbol,Slc30a4
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_name,Vocalization
pvalue,0.558283
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Middle aged adult
