parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
pvalue,0.1763697
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,31w51s53339zf99
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
