parameter_name,Average duration
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,0.4149707
parameter_id,JAX_ROT_002_001
analysis_id,328j05o52ee3040
