analysis_id,1to8d3175nfqr10
mouse_strain,C57BL
parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
parameter_id,IMPC_IMM_032_001
pvalue,0.982718
gene_symbol,Steap3
