gene_symbol,Dhdds
analysis_id,365y2s800p2u5dz
parameter_id,IMPC_CBC_008_001
pvalue,0.4273555
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
parameter_name,Total bilirubin
mouse_strain,C57BL
