analysis_id,uz0s0zud644i9xv
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Bcs1l
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1914071
pvalue,0.3972317
parameter_name,IgD+ mature B cell percentage
