gene_symbol,Golm2
mouse_strain,C57BL
pvalue,0.4266546
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:2443129
parameter_name,Total CD4+ T cells - % of ab T cells
analysis_id,hyd76v50408051p
mouse_life_stage,Early adult
