parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
gene_symbol,Snrpb2
pvalue,0.4090613
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
analysis_id,v5iw7st3j5h6p88
parameter_name,Weight
