analysis_id,7y22f2h21pah65a
mouse_life_stage,Early adult
pvalue,0.8157489
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
