analysis_id,lvy77oggws5x03w
parameter_name,Shape of ribcage
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tnfsf10
pvalue,0.8137293
parameter_id,IMPC_XRY_059_001
