mouse_strain,B6J
analysis_id,3gx337pgnd1ttkd
parameter_name,Startle response
pvalue,0.667745
parameter_id,IMPC_CSD_036_001
gene_symbol,Nr0b2
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
