gene_symbol,Cpa3
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_id,M-G-P_008_001_013
mouse_life_stage,Early adult
pvalue,0.6144512
parameter_name,Startle Response
analysis_id,row5kxk383yj445
