analysis_id,34k7m42l555867t
gene_symbol,Rhbg
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
gene_accession_id,MGI:1927379
pvalue,0.2480107
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
