parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:2140475
pvalue,0.1773381
parameter_name,HRV
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,AU040320
analysis_id,w0c4yq4gw9ctl4t
