gene_symbol,Lurap1
parameter_id,MGP_MLN_001_001
pvalue,0.1507605
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,e77hv0f140y1011
gene_accession_id,MGI:1915325
mouse_strain,C57BL
