parameter_name,Cornea vascularisation
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,r8j9u26xh48f31i
pvalue,0.6028253
