analysis_id,293l79tzby0jug4
mouse_strain,C57BL
pvalue,0.8800081
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
gene_symbol,Frmpd1
parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:2446274
