analysis_id,ll5210760w4l3i5
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_id,MGP_IMM_066_001
mouse_life_stage,Early adult
pvalue,0.3217793
mouse_strain,C57BL
parameter_name,CD11b-high cDC - % of cDC
