parameter_name,Vibrissae - appearance
pvalue,0.09411814
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
analysis_id,1vib1y6h22v84s3
gene_symbol,Fgb
mouse_life_stage,E12.5
