parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
gene_symbol,Inpp1
pvalue,0.3402249
mouse_strain,129SV
analysis_id,bt4t48u9y86i737
gene_accession_id,MGI:104848
