gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
pvalue,0.1769998
analysis_id,84234dnc6874ga5
parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
parameter_name,Heart weight
mouse_strain,C57BL
