gene_symbol,Lime1
pvalue,0.7289844
parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:1919949
analysis_id,45ayc88665794go
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
mouse_strain,C57BL
