parameter_name,Cornea vascularisation
pvalue,0.7980472
analysis_id,7z4e8qm09r8lhtx
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,ESLIM_014_001_008
