analysis_id,932zx25kes1dw29
mouse_life_stage,Early adult
gene_accession_id,MGI:1336200
pvalue,0.09107981
parameter_id,IMPC_GEO_064_001
gene_symbol,Hpca
parameter_name,Edema
mouse_strain,C57BL
