parameter_name,Neutrophils
pvalue,0.1646491
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cdin1
analysis_id,202li7199484i8k
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:3026886
