analysis_id,o79c9s09f0v6270
mouse_life_stage,Early adult
pvalue,0.07126964
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:1913396
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
gene_symbol,Maco1
