gene_symbol,Pex19
pvalue,0.2346878
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:1334458
mouse_strain,C57BL
analysis_id,ec040d43ar579xa
parameter_name,Periphery resting time
mouse_life_stage,Early adult
