parameter_name,Hindlimbs - shape
gene_symbol,Dnaaf9
mouse_strain,C57BL
analysis_id,iyqn048j2mb4asr
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:1923029
pvalue,0.6485448
mouse_life_stage,Early adult
