analysis_id,u01o3t73237252v
parameter_name,Joints
parameter_id,IMPC_XRY_027_001
mouse_strain,129SV
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
pvalue,0.8610693
gene_symbol,Cntfr
