analysis_id,am95h720z189i6r
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
pvalue,0.4457802
parameter_id,MGP_IMM_027_001
gene_symbol,Cisd2
