parameter_name,Aggression
mouse_strain,C57BL
analysis_id,626aox8465392a6
parameter_id,IMPC_CSD_079_001
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
pvalue,0.5597641
mouse_life_stage,Early adult
