gene_symbol,Ahctf1
pvalue,0.8416861
analysis_id,ve258jerxywm4u9
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:1915033
mouse_strain,C57BL
