parameter_name,Hindlimbs - shape
gene_symbol,Orc2
mouse_life_stage,E9.5
analysis_id,s9yvc43xah4mhhn
pvalue,0.7621684
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:1328306
