parameter_name,B2B Cells
mouse_strain,C57BL
pvalue,0.2537377
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_065_001
gene_symbol,Cmpk1
analysis_id,5x08009fhqtgd8g
