analysis_id,qx1lo1687m07egt
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:2444113
mouse_strain,C57BL
gene_symbol,Nemp2
parameter_name,Facial Morphology
pvalue,0.5253913
mouse_life_stage,Early adult
