analysis_id,3vm58mm1yw7ru61
gene_symbol,Cntfr
parameter_id,MGP_MLN_074_001
pvalue,0.4985897
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
