analysis_id,7p4b81jv29kbgys
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.1708667
gene_accession_id,MGI:87968
gene_symbol,Ahcy
