analysis_id,8d20xl39t7sz8e3
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_life_stage,Early adult
parameter_name,Periphery resting time
pvalue,0.2909264
parameter_id,ESLIM_007_001_007
mouse_strain,C57BL
