gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
analysis_id,86le7zz572k2120
pvalue,0.07900248
parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
