analysis_id,x6478j7td3qpvo9
gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.9704164
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
mouse_life_stage,E12.5
