gene_symbol,Ahctf1
pvalue,0.2469284
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_001_001
analysis_id,90t8ml1672d4g9u
gene_accession_id,MGI:1915033
