analysis_id,9ftei057g1770el
gene_symbol,Opn3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_id,MGP_IMM_073_001
pvalue,0.1466848
parameter_name,Effector CD4+ T helper cells - % of CD45+
