mouse_strain,129SV
parameter_id,IMPC_XRY_064_001
analysis_id,nb9uxt3q5t4adne
pvalue,0.7486555
gene_symbol,Cds2
parameter_name,Thoracic processes
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
