parameter_name,Distance travelled - total
mouse_life_stage,Middle aged adult
parameter_id,JAXLA_OFD_020_001
gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.2416467
mouse_strain,C57BL
analysis_id,3ph21t953u35602
