parameter_name,ST
pvalue,0.6982894
analysis_id,4sq0dq10lu44la7
gene_symbol,Ntmt2
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:2685053
mouse_strain,C57BL
mouse_life_stage,Early adult
