parameter_id,IMPC_GRS_009_001
analysis_id,bvw20e20373s706
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Dcaf12
mouse_life_stage,Early adult
pvalue,0.8911828
gene_accession_id,MGI:1916220
