gene_symbol,Dnaaf9
analysis_id,z63zhk6glxng4wm
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
mouse_strain,C57BL
pvalue,0.4697626
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
